Feature,Coefficient
altitude,2.206428394399654
speed,-1.8408204690278331
payload,1.8354870505402445
flight_duration,1.4296556024856768
wind_speed,0.8616927763562842
wind_gust,-0.7406649202366865
temperature,0.4055905839074184
pressure,-0.36978535767841186
cloud_cover,-0.2841797707980568
relative_wind_angle,0.20578389908901823
distance,-0.1967219099966951
wind_dir,0.16940898093761012
humidity,0.05492389263771719
