Model,CV_R2_mean,CV_MAE_mean,CV_RMSE_mean
Linear Regression,0.8123943932134383,1.5661461866144761,1.934877501265928
Decision Tree,0.7292184050688071,1.6295163179315737,2.219581879354926
Random Forest,0.8609401688809974,1.2698301483749772,1.6793013062761037
XGBoost,0.9027585801450553,1.0190323432080317,1.4013797209282157
LightGBM,0.9262940951724099,0.9282936668840124,1.20028016877245
