Model,MAE,RMSE,MAPE,R2,Adj_R2,Train_R2,R2_Gap (Overfit)
Linear Regression,1.6282754899509053,2.0608886312101644,8.121700800347147,0.8686370613686918,0.8235983395522433,0.8974423493232104,0.028805287954518644
Decision Tree,1.7951464702409654,2.9365678001456645,8.119908935306022,0.7332871912335268,0.6418427996564502,1.0,0.2667128087664732
Random Forest,1.9359566364754983,2.9166089299449243,8.718236668358422,0.736900386223588,0.6466948043573896,0.9847346645968686,0.24783427837328065
XGBoost,1.5664277053626527,2.615853602820227,7.099514623440206,0.788363447687148,0.7158023440370272,0.999988460161096,0.21162501247394805
LightGBM,1.5027912713511962,2.685473033202186,6.631709114076402,0.7769483708930952,0.7004735266278708,0.975440386802595,0.19849201590949983
