Model,MAE,RMSE,MAPE,R2,Adj_R2,Train_R2,R2_Gap (Overfit)
Linear Regression,3.399473114816889,6.038841093519163,15.75579270716905,-0.1279010777278331,-0.5591573721531811,0.9264513029076634,1.0543523806354966
Decision Tree,2.011433731911783,3.1739762053884553,9.270217110747707,0.6884188747048472,0.5692849150331711,1.0,0.3115811252951528
Random Forest,1.8526152509104126,2.598488078649108,8.62343688996577,0.7911640483737942,0.7113150080461272,0.9765360520045894,0.1853720036307952
XGBoost,1.6081641744067028,2.5370944230917507,7.243462073388991,0.8009156738203844,0.7247951961634727,0.9999805085665052,0.1990648347461208
LightGBM,1.4078148478267156,2.474620282316912,6.261141660433102,0.810599577044106,0.7381817682668523,0.9793987459062197,0.16879916886211366
